Sex,Hour,AvgActivity,StdActivity,NumActive,TotalRecords,UniqueMice,PercentActive
Female,0,30.959380128847627,27.210365822209308,8664,10920,13,79.34065934065934
Female,1,45.31379024789424,27.84769251062092,10140,10920,13,92.85714285714286
Female,2,44.77794804811548,26.93799715464714,10336,10920,13,94.65201465201466
Female,3,42.02880982988584,27.712525560885656,10019,10920,13,91.74908424908425
Female,4,37.70187118177507,28.73446111884641,9330,10920,13,85.43956043956044
Female,5,35.92995700387128,28.353870874748594,9191,10920,13,84.16666666666667
Female,6,38.11515308365128,28.13062703012552,9568,10920,13,87.61904761904762
Female,7,35.90768724084088,29.100955101014094,9026,10920,13,82.65567765567765
Female,8,31.791630604701602,28.73145284442025,8304,10920,13,76.04395604395604
Female,9,26.40458734886312,28.476722403807955,7382,10920,13,67.6007326007326
Female,10,21.499428649541333,26.98449002042423,6498,10920,13,59.505494505494504
Female,11,15.377957875488605,23.17005431763554,5641,10920,13,51.65750915750916
Female,12,9.443619479662285,18.294466874766552,4274,10920,13,39.13919413919414
Female,13,11.375091575091576,19.76543838908569,4871,10920,13,44.60622710622711
Female,14,11.416803992806631,19.817541392427078,4793,10920,13,43.891941391941394
Female,15,8.886777421845531,17.308718341838908,4232,10920,13,38.75457875457875
Female,16,7.7320127538450825,15.753672900931992,4013,10920,13,36.74908424908425
Female,17,7.881620903371931,16.467061692188505,3932,10920,13,36.00732600732601
Female,18,10.395245982527392,19.309179037205695,4576,10920,13,41.904761904761905
Female,19,10.284396637861407,19.555239486032008,4462,10920,13,40.86080586080586
Female,20,9.922888239165273,18.981119796348313,4571,10920,13,41.85897435897436
Female,21,11.058062749070299,19.652775455162335,4855,10920,13,44.459706959706956
Female,22,13.143646143688038,21.467368409710136,5432,10920,13,49.743589743589745
Female,23,17.504874463435545,23.994147858542846,6286,10920,13,57.56410256410256
Male,0,29.292376822879117,33.9049335721716,7193,10920,13,65.86996336996337
Male,1,52.83437419447531,31.747067564379563,10106,10920,13,92.54578754578755
Male,2,48.441582425646565,32.69790955921439,9776,10920,13,89.52380952380952
Male,3,42.87698250938539,34.22996559755161,9082,10920,13,83.16849816849818
Male,4,40.2520859261094,35.34020269343842,8552,10920,13,78.31501831501832
Male,5,41.99154589627435,35.391685712556054,8763,10920,13,80.24725274725274
Male,6,41.531700563584536,35.22419736417149,8830,10920,13,80.86080586080585
Male,7,40.87400853747921,35.49510368954607,8616,10920,13,78.9010989010989
Male,8,35.48565346451592,35.96126423937664,7690,10920,13,70.42124542124542
Male,9,28.48864987368168,34.190001233213344,6690,10920,13,61.26373626373626
Male,10,23.447637095000875,33.168542283027556,5863,10920,13,53.69047619047619
Male,11,19.18340302547965,30.5245885784465,5233,10920,13,47.92124542124542
Male,12,13.55529443436786,26.509596086077195,4144,10920,13,37.94871794871795
Male,13,10.482597719143666,23.014456306721424,3605,10920,13,33.01282051282051
Male,14,14.669905958428064,26.78424662597428,4435,10920,13,40.61355311355312
Male,15,9.690425081412172,22.16505958676244,3374,10920,13,30.897435897435898
Male,16,11.330430309213808,23.576319858966627,3819,10920,13,34.972527472527474
Male,17,12.094584546513854,25.27843546118652,3718,10920,13,34.04761904761905
Male,18,10.564039106117123,23.605933396448656,3498,10920,13,32.032967032967036
Male,19,14.080028443225938,26.158569136266085,4353,10920,13,39.862637362637365
Male,20,13.047971352749562,25.15345498123492,4117,10920,13,37.701465201465204
Male,21,13.416847818830977,25.524495559637,4253,10920,13,38.946886446886445
Male,22,15.75549406706632,27.366324297665173,4749,10920,13,43.489010989010985
Male,23,16.877830920434132,27.14595821081188,5256,10920,13,48.13186813186813
